event_time,site_cam,session,path,modality,event_type,sensor_id,confidence,is_timelapse
2025-06-30 12:50:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630125002_0156.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:51:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630125101_0158.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:51:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630125101_0159.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:51:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630125102_0160.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:52:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630125201_0163.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:52:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630125201_0162.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:52:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630125202_0164.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:52:27,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630125227_0166.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:52:27,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630125227_0167.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:52:28,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630125228_0168.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:53:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630125301_0171.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:53:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630125301_0170.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:53:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630125302_0172.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:54:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630125401_0175.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:54:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630125401_0174.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:54:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630125402_0176.JPG,camera,camera_image,TW01-CT02,,False
